subject ,channel name ,,channel link,, website name ,,website link
Data science,Simplilearn,,https://www.youtube.com/watch?v=X3paOmcrTjQ,,IBM,,https://www.ibm.com/topics/data-science
Data science,edureka,,https://www.youtube.com/@edurekaIN,,AWS,,https://aws.amazon.com/what-is/data-science/
Data science,freecodecamp,,https://www.youtube.com/watch?v=ua-CiDNNj30,,geeksforgeeks,,https://www.geeksforgeeks.org/what-is-data-science/
Data science,krishnaik,,https://www.youtube.com/watch?v=LZzq1zSL1bs,,Coursera,,https://www.coursera.org/learn/what-is-datascience
Data science,Btree System,,https://www.youtube.com/watch?v=hNCd_BM4T3M,,W3schools,,https://www.w3schools.com/datascience/
Data science,Simplilearn,,https://www.youtube.com/watch?v=ZcaKgqXsEbA,,Berkeley,,https://ischoolonline.berkeley.edu/data-science/what-is-data-science/
Data science,IBM Technology,,https://www.youtube.com/watch?v=RBSUwFGa6Fk,,wikipedia,,https://en.wikipedia.org/wiki/Data_science
Data science,WsCube Tech,,https://www.youtube.com/watch?v=gDZ6czwuQ18,,coursera,,https://www.coursera.org/in/articles/what-is-data-science
Data science,Intellipaat,,https://www.youtube.com/watch?v=RkVjM0SRkMs,,Michigan,,https://www.mtu.edu/data-science/what-is/
Data science,Steve Brunton,,https://www.youtube.com/watch?v=FsSrzmRawUg,,quora,,https://www.quora.com/What-is-data-science
Data Structure,freecodecamp,,https://www.youtube.com/watch?v=8hly31xKli0,,geeksforgeeks,,https://www.geeksforgeeks.org/data-structures/
Data Structure,shail & sarra,,https://www.youtube.com/watch?v=tNrNLoCqzco,,W3schools,,https://www.w3schools.com/dsa/dsa_intro.php
Data Structure,CodewithHarry,,https://www.youtube.com/watch?v=5_5oE5lgrhw&list=PLu0W_9lII9ahIappRPN0MCAgtOu3lQjQi,,techdevguide,,https://techdevguide.withgoogle.com/paths/data-structures-and-algorithms/
Data Structure,curious Freaks,,https://www.youtube.com/watch?v=IBkwl4HSY8A,,Tech Target,,https://www.techtarget.com/searchdatamanagement/definition/data-structure
Data Structure,Great Learning,,https://www.youtube.com/watch?v=MtVZAXepMPM,,javaTPoint,,https://www.javatpoint.com/data-structure-tutorial
Data Structure,GABS GLASSES,,https://www.youtube.com/watch?v=fPDQVUIxCas,,wikipedia,,https://en.wikipedia.org/wiki/Data_structure
Data Structure,Jenny's Lectures,,https://www.youtube.com/watch?v=AT14lCXuMKI&list=PLdo5W4Nhv31bbKJzrsKfMpo_grxuLl8LU,,javaTpoint,,https://javatpoint.com/data-structure-introduction
Data Structure,Apna College,,https://www.youtube.com/watch?v=VTLCoHnyACE&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt,,altexsoft,,https://www.altexsoft.com/blog/data-structure/
Data Structure,Learn Coding,,https://www.youtube.com/watch?v=-D5u5HJbISc&list=PLqleLpAMfxGAf5rrWdm92WMK3-gsrxgz5,,Built In,,https://builtin.com/data-science/data-structures
Data Structure,Neso Academy,,https://www.youtube.com/watch?v=xLetJpcjHS0&list=PLBlnK6fEyqRj9lld8sWIUNwlKfdUoPd1Y,,UnStop,,https://unstop.com/blog/what-is-data-structure
Java,Error makes Clever,,https://www.youtube.com/watch?v=IT2durkDCXM,,W3schools,,https://www.w3schools.com/java/java_intro.asp
Java,Logic First Tamil,,https://www.youtube.com/watch?v=7yr81Dnn0NY&list=PLYM2_EX_xVvVXm005Gt5unmqW6GGMjHxa,,IBM,,https://www.ibm.com/topics/java
Java,CodewithHarry,,https://www.youtube.com/watch?v=ntLJmHOJ0ME&list=PLu0W_9lII9agS67Uits0UnJyrYiXhDS6q,,AWS,,https://aws.amazon.com/what-is/java/
Java,Telusko,,https://www.youtube.com/watch?v=bm0OyhwFDuY&list=PLsyeobzWxl7pe_IiTfNyr55kwJPWbgxB5,,geeksforgeeks,,https://www.geeksforgeeks.org/introduction-to-java/
Java,freecodecamp,,https://www.youtube.com/watch?v=grEKMHGYyns,,javaTPoint,,https://www.javatpoint.com/java-oops-concepts
Java,Data Engineering,,https://www.youtube.com/watch?v=K-4pZjy6M2U&t=956s,,Tutorial Point,,https://www.tutorialspoint.com/java/java_oops_concepts.htm
Java,Code io,,https://www.youtube.com/watch?v=Gex-j7GlCHc,,Tech Affinity,,https://techaffinity.com/blog/oops-concepts-in-java/
Java,Apna College,,https://www.youtube.com/watch?v=bSrm9RXwBaI,,freecodecamp,,https://www.freecodecamp.org/news/object-oriented-programming-concepts-java/
Java,Kunal,,https://www.youtube.com/watch?v=BSVKUk58K6U&list=PL9gnSGHSqcno1G3XjUbwzXHL8_EttOuKk,,Oracle ,,https://docs.oracle.com/javase/tutorial//java/concepts/
Java,simplilearn,,https://www.youtube.com/watch?v=6T_HgnjoYwM,,stackify,,https://stackify.com/oops-concepts-in-java/
C,Code io,,https://www.youtube.com/watch?v=fmSnLiAv-zc,,W3schools,,https://www.w3schools.com/c/c_intro.php
C,college wallah,,https://www.youtube.com/watch?v=rQoqCP7LX60&list=PLxgZQoSe9cg1drBnejUaDD9GEJBGQ5hMt,,geeksforgeeks,,https://www.geeksforgeeks.org/c-language-introduction/
C,jenny's Lectures,,https://www.youtube.com/watch?v=EjavYOFoJJ0&list=PLdo5W4Nhv31a8UcMN9-35ghv8qyFWD9_S,,javaTPoint,,https://www.javatpoint.com/c-programming-language-tutorial
C,edureka,,https://www.youtube.com/watch?v=S_tgfu2vKqs,,shiksha Online,,https://www.shiksha.com/online-courses/what-is-c-programming-st619-tg1436
C,Apna College,,https://www.youtube.com/watch?v=irqbmMNs2Bo,,geeksforgeeks,,https://www.geeksforgeeks.org/c-programming-language/
C,Learn Coding,,https://www.youtube.com/watch?v=C5GCFEMcIGQ&list=PLqleLpAMfxGBn9v-K17ztBfNXHzPnX5sN,,programiz,,https://www.programiz.com/c-programming
C,codewithHarry,,https://www.youtube.com/watch?v=7Dh73z3icd8&list=PLu0W_9lII9aiXlHcLx-mDH1Qul38wD3aR,,simplilearn,,https://www.simplilearn.com/tutorials/c-tutorial/use-of-c-language
C,Kode god,,https://www.youtube.com/watch?v=vl794HKeXug,,Udemy,,https://blog.udemy.com/c-programming-basics/?utm_source=adwords&utm_medium=udemyads&utm_campaign=Search_DSA_GammaCatchall_NonP_la.EN_cc.India&campaigntype=Search&portfolio=India&language=EN&product=Course&test=&audience=DSA&topic=&priority=Gamma&utm_content=deal4584&utm_term=_._ag_166578677881_._ad_700948726520_._kw__._de_c_._dm__._pl__._ti_dsa-1456167871416_._li_9148899_._pd__._&matchtype=&gad_source=1&gclid=Cj0KCQjw99e4BhDiARIsAISE7P8OirGpveVf1HAejpYf9cOmTqQCEXXh5cWX2HoNh3ZsNstW4k46zLoaAvNQEALw_wcB
C,caleb curry,,https://www.youtube.com/watch?v=Bz4MxDeEM6k,,tutorial Point,,https://www.tutorialspoint.com/cprogramming/index.htm
C,edureka,,https://www.youtube.com/watch?v=8PopR3x-VMY,,educative,,https://www.educative.io/catalog/c?utm_campaign=brand_educative&utm_source=google&utm_medium=ppc&utm_content=performance_max_india&eid=5082902844932096&utm_term=&utm_campaign=%5BNew%5D+Performance+Max&utm_source=adwords&utm_medium=ppc&hsa_acc=5451446008&hsa_cam=18931439518&hsa_grp=&hsa_ad=&hsa_src=x&hsa_tgt=&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=Cj0KCQjw99e4BhDiARIsAISE7P_SKJEv7gRG4Kcd3R0IOeP1PZ0gOuP_f0xM47r_ZVxRQw8S6VRLDBwaAhfeEALw_wcB
python,Indently,,https://www.youtube.com/watch?v=fWjsdhR3z3c,,W3schools,,https://www.w3schools.com/python/python_intro.asp
python,programwithmosh,,https://www.youtube.com/watch?v=kqtD5dpn9C8&t=30s,,geeksforgeeks,,https://www.geeksforgeeks.org/python-basics/
python,edureka,,https://www.youtube.com/watch?v=woVJ4N5nl_s,,javaTPoint,,https://www.javatpoint.com/python-tutorial
python,Error makes Clever,,https://www.youtube.com/watch?v=m67-bOpOoPU,,W3schools,,https://www.w3schools.com/python/python_intro.asp
python,Error makes Clever,,https://www.youtube.com/watch?v=BVIoAILnZ4Q,,geeksforgeeks,,https://www.geeksforgeeks.org/python-programming-language-tutorial/
python,curious Freaks,,https://www.youtube.com/watch?v=Q8FTEZosEO0,,wikipedia,,https://en.wikipedia.org/wiki/Python_(programming_language)
python,edureka,,https://www.youtube.com/watch?v=X6bFJI9r-mM,,programiz,,https://www.programiz.com/python-programming
python,freecodecamp,,https://www.youtube.com/watch?v=rfscVS0vtbw&t=105s,,aws,,https://aws.amazon.com/what-is/python/
python,Logic First Tamil,,https://www.youtube.com/watch?v=BiDOehqG68g&t=283s,,python docs,,https://docs.python.org/3/reference/index.html
python,jenny's Lectures,,https://www.youtube.com/watch?v=6i3EGqOBRiU&list=PLdo5W4Nhv31bZSiqiOL5ta39vSnBxpOPT,,freecodecamp,,https://www.freecodecamp.org/news/learn-python-basics/
web development,Error makes Clever,,https://www.youtube.com/watch?v=5QzzeYHApV0,,geeksforgeeks,,https://www.geeksforgeeks.org/web-development/
web development,apna College,,https://www.youtube.com/watch?v=l1EssrLxt7E&list=PLfqMhTWNBTe3H6c9OGXb5_6wcc1Mca52n,,wikipedia,,https://en.wikipedia.org/wiki/Web_development
web development,web dev simplified,,https://www.youtube.com/watch?v=XlvsJLer_No&list=PLZlA0Gpn_vH8jbFkBjOuFjhxANC63OmXM,,udemy,,https://www.udemy.com/courses/development/web-development/
web development,learn code academy,,https://www.youtube.com/watch?v=gQojMIhELvM&list=PLoYCgNOIyGAB_8_iq1cL8MVeun7cB6eNc,,Brain Station,,https://www.udemy.com/courses/development/web-development/
web development,edureka,,https://www.youtube.com/watch?v=Q33KBiDriJY&list=PL9ooVrP1hQOEloRCBI97ZXkWUg6MJn0Yf,,MDN web Docs,,https://developer.mozilla.org/en-US/docs/Learn/Getting_started_with_the_web
web development,web dev simplified,,https://www.youtube.com/watch?v=HfTXHrWMGVY&list=PLZlA0Gpn_vH-cEDOofOujFIknfZZpIk3a,,W3schools,,https://www.w3schools.com/
web development,CodewithHarry,,https://www.youtube.com/watch?v=6mbwJ2xhgzM&list=PLu0W_9lII9agiCUZYRsvtGTXdxkzPyItg,,scandiweb,,https://scandiweb.com/blog/basics-of-website-development/
web development,code genius,,https://www.youtube.com/watch?v=J_dxjsXGJ0k,,sololeran,,https://www.sololearn.com/en/learn/courses/web-development
web development,Error makes Clever,,https://www.youtube.com/watch?v=FYErehuSuuw,,coursera,,https://www.coursera.org/articles/web-developer
web development,Fact Nut,,https://www.youtube.com/watch?v=ZAy-_yJ00MQ&list=PLIPSN1xWXb-Am7CEB4wOPcUpnrIbQQa2d,,webfx,,https://www.webfx.com/web-development/glossary/what-is-web-development/
Flutter,Net Ninja,,https://www.youtube.com/watch?v=1ukSR1GRtMU&list=PL4cUxeGkcC9jLYyp2Aoh6hcWuxFDX6PBJ,,geeksforgeeks,,https://www.geeksforgeeks.org/flutter-tutorial/
Flutter,Flutter Mapp,,https://www.youtube.com/watch?v=CD1Y2DmL5JM,,freecodecamp,,https://www.freecodecamp.org/news/an-introduction-to-flutter-the-basics-9fe541fd39e2/
Flutter,Tech with Tim,,https://www.youtube.com/watch?v=ly0hAtV7EBg&list=PLzMcBGfZo4-knQWGK2IC49Q_5AnQrFpzv,,javaTPoint,,https://www.javatpoint.com/flutter
Flutter,WsCube Tech,,https://www.youtube.com/watch?v=jqxz7QvdWk8&list=PLjVLYmrlmjGfGLShoW0vVX_tcyT8u1Y3E,,Tutorial Point,,https://www.tutorialspoint.com/flutter/index.htm
Flutter,Rivaan Ranawat,,https://www.youtube.com/watch?v=CzRQ9mnmh44,,Flutter,,https://flutter.dev/learn
Flutter,BrotoType ,,https://www.youtube.com/watch?v=M3ni_jDqY6E&list=PLY-ecO2csVHcUlBVvIMAa3dbja12TFJiN,,code labs,,https://docs.flutter.dev/codelabs
Flutter,LEARN ALL IN TAMIL,,https://www.youtube.com/watch?v=J5OQS29u9wY&list=PLBngtsPyn30HYEkmqIqZwvLl0c8zWqCtx,,Fireship,,https://fireship.io/courses/flutter-firebase/basic-training/
Flutter,freecodecamp,,https://www.youtube.com/watch?v=VPvVD8t02U8,,kodeco,,https://www.kodeco.com/27732840-your-first-flutter-app-an-app-from-scratch
Flutter,Mahdi ,,https://www.youtube.com/watch?v=OO_-MbnXQzY,,Medium,,https://medium.com/@midhunarmid/mastering-flutter-basics-a-comprehensive-guide-to-flutter-fundamentals-25a5b8de723e
Flutter,rapid flutter,,https://www.youtube.com/watch?v=8vSF_ws3wtE,,fullstack Labs,,https://www.fullstack.com/labs/resources/blog/an-introduction-to-flutters-world
